"Tarragona","PACMA",639
"Tarragona","RECORTES CERO-ELS VERDS",204
"Tarragona","GANEMOS",114
"Sant Martí de Tous","Total de votantes",793
"Sant Martí de Tous","Abstención",82
"Sant Martí de Tous","Votos nulos",2
"Sant Martí de Tous","Votos en blanco",3
"Sant Martí de Tous","Votos a candidaturas",788
"Sant Martí de Tous","JxSí",554
"Sant Martí de Tous","CUP",86
"Sant Martí de Tous","unio.cat",38
"Sant Martí de Tous","PSC",36
"Sant Martí de Tous","PP",33
"Sant Martí de Tous","C's",26
"Sant Martí de Tous","CatSíqueesPot",15
"Sant Martí de Tous","PACMA",0
"Sant Martí de Tous","RECORTES CERO-ELS VERDS",0
"Arsèguel","Total de votantes",50
"Arsèguel","Abstención",10
"Arsèguel","Votos nulos",0
"Arsèguel","Votos en blanco",1
"Arsèguel","Votos a candidaturas",49
"Arsèguel","JxSí",38
"Arsèguel","CUP",9
"Arsèguel","C's",1
"Arsèguel","CatSíqueesPot",1
"Arsèguel","GANEMOS",0
"Arsèguel","PACMA",0
"Arsèguel","PSC",0
"Arsèguel","PP",0
"Arsèguel","RECORTES CERO-ELS VERDS",0
"Arsèguel","unio.cat",0
"Biosca","Total de votantes",134
"Biosca","Abstención",40
"Biosca","Votos nulos",1
"Biosca","Votos en blanco",1
"Biosca","Votos a candidaturas",132
"Biosca","JxSí",90
"Biosca","C's",12
"Biosca","unio.cat",7
"Biosca","CUP",6
"Biosca","CatSíqueesPot",6
"Biosca","PP",5
"Biosca","PSC",5
"Biosca","PACMA",1
"Biosca","GANEMOS",0
"Biosca","RECORTES CERO-ELS VERDS",0
"Selva de Mar, la","Total de votantes",141
"Selva de Mar, la","Abstención",25
"Selva de Mar, la","Votos nulos",0
"Selva de Mar, la","Votos en blanco",0
"Selva de Mar, la","Votos a candidaturas",141
"Selva de Mar, la","JxSí",84
"Selva de Mar, la","CUP",35
"Selva de Mar, la","C's",7
"Selva de Mar, la","PSC",5
"Selva de Mar, la","CatSíqueesPot",5
"Selva de Mar, la","PP",3
"Selva de Mar, la","unio.cat",2
"Selva de Mar, la","GANEMOS",0
"Selva de Mar, la","PACMA",0
"Selva de Mar, la","PIRATA.CAT/XDT",0
"Selva de Mar, la","RECORTES CERO-ELS VERDS",0
"Ribera d'Urgellet","Total de votantes",522
"Ribera d'Urgellet","Abstención",161
"Ribera d'Urgellet","Votos nulos",0
"Ribera d'Urgellet","Votos en blanco",7
"Ribera d'Urgellet","Votos a candidaturas",515
"Ribera d'Urgellet","JxSí",333
"Ribera d'Urgellet","CUP",44
"Ribera d'Urgellet","C's",31
"Ribera d'Urgellet","unio.cat",30
"Ribera d'Urgellet","PSC",27
"Ribera d'Urgellet","PP",27
"Ribera d'Urgellet","CatSíqueesPot",23
"Ribera d'Urgellet","PACMA",0
"Ribera d'Urgellet","GANEMOS",0
"Ribera d'Urgellet","RECORTES CERO-ELS VERDS",0
"Planoles","Total de votantes",197
"Planoles","Abstención",36
"Planoles","Votos nulos",2
"Planoles","Votos en blanco",1
"Planoles","Votos a candidaturas",194
"Planoles","JxSí",137
"Planoles","CUP",35
"Planoles","PSC",7
"Planoles","CatSíqueesPot",7
"Planoles","unio.cat",5
"Planoles","PP",2
"Planoles","C's",1
"Planoles","GANEMOS",0
"Planoles","PACMA",0
"Planoles","PIRATA.CAT/XDT",0
"Planoles","RECORTES CERO-ELS VERDS",0
"Torrent","Total de votantes",117
"Torrent","Abstención",19
"Torrent","Votos nulos",2
"Torrent","Votos en blanco",0
"Torrent","Votos a candidaturas",115
"Torrent","JxSí",80
"Torrent","C's",13
"Torrent","CUP",8
"Torrent","PSC",6
"Torrent","CatSíqueesPot",4
"Torrent","PP",2
"Torrent","unio.cat",2
"Torrent","GANEMOS",0
"Torrent","PACMA",0
"Torrent","PIRATA.CAT/XDT",0
"Torrent","RECORTES CERO-ELS VERDS",0
"Passanant i Belltall","Total de votantes",137
"Passanant i Belltall","Abstención",12
"Passanant i Belltall","Votos nulos",0
"Passanant i Belltall","Votos en blanco",0
"Passanant i Belltall","Votos a candidaturas",137
"Passanant i Belltall","JxSí",94
"Passanant i Belltall","CUP",23
